## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	27020
## Reversed:	none
## [Run]
## Description:	Run4
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
2156575536	SMP	1	633.80	644.60	00:00:00:00		Fixation
2156612645	SMP	1	633.10	649.19	00:00:00:01		Fixation
2156645127	SMP	1	637.02	653.90	00:00:00:02		Fixation
2156675519	SMP	1	640.76	657.92	00:00:00:03		Fixation
2156709675	SMP	1	641.72	658.57	00:00:00:04		Fixation
2156743969	SMP	1	643.21	658.46	00:00:00:05		Fixation
2156775524	SMP	1	641.49	656.06	00:00:00:06		Fixation
2156808457	SMP	1	642.39	654.57	00:00:00:06		Fixation
2156842120	SMP	1	637.63	652.44	00:00:00:07		Fixation
2156875587	SMP	1	633.00	649.56	00:00:00:08		Fixation
2156908423	SMP	1	630.10	652.92	00:00:00:09		Fixation
2156941268	SMP	1	628.37	652.90	00:00:00:10		Fixation
2156974810	SMP	1	630.70	651.86	00:00:00:10		Fixation
2157008123	SMP	1	629.59	648.80	00:00:00:11		Fixation
2157041232	SMP	1	632.98	651.37	00:00:00:12		Fixation
2157074533	SMP	1	630.00	651.22	00:00:00:13		Fixation
2157107692	SMP	1	630.27	653.44	00:00:00:14		Fixation
2157141009	SMP	1	633.45	648.73	00:00:00:14		Fixation
2157174261	SMP	1	634.68	648.14	00:00:00:15		Fixation
2157207763	SMP	1	599.40	645.73	00:00:00:16		Blink
2157240910	SMP	1	472.65	627.08	00:00:00:17		Blink
2157275372	SMP	1	497.21	630.67	00:00:00:18		Blink
2157307511	SMP	1	502.03	627.16	00:00:00:18		Blink
2157340550	SMP	1	24406.64	25340.62	00:00:00:19		Blink
2157374422	SMP	1	0.00	0.00	00:00:00:20		Blink
2157440881	SMP	1	688.41	866.47	00:00:00:22		Blink
2157474450	SMP	1	622.05	540.17	00:00:00:22		Blink
2157507102	SMP	1	0.00	0.00	00:00:00:23		Blink
2157540790	SMP	1	0.00	0.00	00:00:01:00		Blink
2157573663	SMP	1	0.00	0.00	00:00:01:01		Blink
2157606968	SMP	1	-156.59	1141.79	00:00:01:02		Blink
2157640584	SMP	1	720.64	701.36	00:00:01:02		Blink
2157673813	SMP	1	687.10	534.84	00:00:01:03		Blink
2157706766	SMP	1	674.44	531.27	00:00:01:04		Blink
2157740595	SMP	1	671.55	537.43	00:00:01:05		Blink
2157773168	SMP	1	666.57	542.01	00:00:01:06		Blink
2157806578	SMP	1	663.19	542.39	00:00:01:07		Blink
2157840255	SMP	1	649.52	544.94	00:00:01:07		Fixation
2157872927	SMP	1	601.23	518.79	00:00:01:08		Fixation
2157906224	SMP	1	590.99	521.93	00:00:01:09		Fixation
2157939672	SMP	1	585.01	528.86	00:00:01:10		Fixation
2157973218	SMP	1	581.32	534.28	00:00:01:11		Fixation
