## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	25937
## Reversed:	none
## [Run]
## Description:	Run7
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
5459077701	SMP	1	510.68	517.50	00:00:00:00		Fixation
5459119435	SMP	1	512.87	517.28	00:00:00:01		Fixation
5459144452	SMP	1	515.60	521.46	00:00:00:02		Fixation
5459177619	SMP	1	523.28	515.98	00:00:00:02		Fixation
5459215508	SMP	1	523.85	515.46	00:00:00:04		Saccade
5459250016	SMP	1	577.06	561.30	00:00:00:04		Saccade
5459285000	SMP	1	591.99	576.52	00:00:00:05		Fixation
5459345083	SMP	1	594.42	576.92	00:00:00:07		Fixation
5459377485	SMP	1	599.01	575.10	00:00:00:07		Fixation
5459411146	SMP	1	599.68	574.60	00:00:00:08		Fixation
5459443656	SMP	1	597.62	575.35	00:00:00:09		Fixation
5459478186	SMP	1	604.06	579.91	00:00:00:10		Saccade
5459512217	SMP	1	661.47	553.28	00:00:00:11		Saccade
5459544029	SMP	1	694.32	540.99	00:00:00:11		Fixation
5459576870	SMP	1	706.90	541.04	00:00:00:12		Fixation
5459610838	SMP	1	713.96	546.16	00:00:00:13		Fixation
5459643427	SMP	1	725.53	545.74	00:00:00:14		Fixation
5459676817	SMP	1	730.22	549.32	00:00:00:14		Fixation
5459709881	SMP	1	732.10	545.39	00:00:00:15		Fixation
